"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Ethiopia","ETH","Population, total","SP.POP.TOTL","22151284","22671193","23221385","23798418","24397010","25013634","25641040","26280135","26944386","27652715","28415080","29248650","30140799","31036670","31861353","32566855","33128151","33577240","33993301","34487806","35141703","35984531","36995246","38142679","39374346","40652146","41965696","43329238","44757205","46272308","47887864","49609976","51423591","53295556","55180993","57047906","58883531","60697443","62507724","64343008","66224809","68159422","70142090","72170581","74239508","76346310","78489205","80674343","82916236","85233923","87639962","90139928","92726982","95385793","98094264","100835453","103603461","106399926","109224410","112078727","114963583","117876226",
"Finland","FIN","Population, total","SP.POP.TOTL","4429634","4461005","4491443","4523309","4548543","4563732","4580869","4605744","4626469","4623785","4606307","4612124","4639657","4666081","4690574","4711440","4725664","4738902","4752528","4764690","4779535","4799964","4826933","4855787","4881803","4902206","4918154","4932123","4946481","4964371","4986431","5013740","5041992","5066447","5088333","5107790","5124573","5139835","5153498","5165474","5176209","5188008","5200598","5213014","5228172","5246096","5266268","5288720","5313399","5338871","5363352","5388272","5413971","5438972","5461512","5479531","5495303","5508214","5515525","5521606","5529543","5541696",
"France","FRA","Population, total","SP.POP.TOTL","46621688","47240526","47904879","48582624","49230585","49818019","50330268","50775788","51175507","51561833","51957747","52371320","52793151","53207744","53592235","53931390","54220033","54467709","54691866","54917110","55161510","55430278","55718940","56023775","56337675","56654703","56976126","57302642","57627106","57940199","58235716","58559309","58851216","59106758","59327200","59541904","59753095","59964841","60186284","60496708","60912500","61357432","61805266","62244880","62704901","63179356","63621376","64016227","64374979","64707035","65027505","65342789","65659814","65998685","66312067","66548272","66724104","66918020","67101930","67248926","67379908","67499343",
"United Kingdom","GBR","Population, total","SP.POP.TOTL","52400000","52800000","53250000","53650000","54000000","54348050","54648500","54943600","55211700","55441750","55663250","55896223","56086065","56194527","56229974","56225800","56211968","56193492","56196504","56246951","56314216","56333829","56313641","56332848","56422072","56550268","56681396","56802050","56928327","57076711","57247586","57424897","57580402","57718614","57865745","58019030","58166950","58316954","58487141","58682466","58892514","59119673","59370479","59647577","59987905","60401206","60846820","61322463","61806995","62276270","62766365","63258810","63700215","64128273","64602298","65116219","65611593","66058859","66460344","66836327","67081000","67326569",
"Greece","GRC","Population, total","SP.POP.TOTL","8331725","8398050","8448233","8479625","8510429","8550333","8613651","8684088","8740765","8772764","8792806","8831036","8888628","8929086","8962022","9046541","9188150","9308479","9429959","9548258","9642505","9729350","9789513","9846627","9895801","9934300","9967213","10000595","10036983","10089498","10196792","10319927","10399061","10460415","10512922","10562153","10608800","10661259","10720509","10761698","10805808","10862132","10902022","10928070","10955141","10987314","11020362","11048473","11077841","11107017","11121341","11104899","11045011","10965211","10892413","10820883","10775971","10754679","10732882","10721582","10700556","10664568",
"India","IND","Population, total","SP.POP.TOTL","450547675","459642166","469077191","478825602","488848139","499123328","509631509","520400577","531513834","543084333","555189797","567868021","581087255","594770136","608802595","623102900","637630085","652408766","667499815","682995348","698952837","715384997","732239498","749428958","766833411","784360012","801975250","819682095","837468938","855334675","873277799","891273202","909307018","927403866","945601828","963922586","982365248","1000900028","1019483586","1038058154","1056575548","1075000094","1093317187","1111523146","1129623466","1147609924","1165486291","1183209471","1200669762","1217726217","1234281163","1250287939","1265780243","1280842119","1295600768","1310152392","1324517250","1338676779","1352642283","1366417756","1380004385","1393409033",
"Ireland","IRL","Population, total","SP.POP.TOTL","2828600","2824400","2836050","2852650","2866550","2877300","2888800","2902450","2915550","2932650","2957250","2992050","3036850","3085950","3137500","3189550","3238050","3282200","3329100","3373750","3412800","3453000","3485800","3510600","3532423","3538082","3539690","3540057","3524949","3511009","3513974","3534235","3558430","3576261","3590386","3608841","3637510","3674171","3712696","3754786","3805174","3866243","3931947","3996521","4070262","4159914","4273591","4398942","4489544","4535375","4560155","4580084","4599533","4623816","4657740","4701957","4755335","4807388","4867316","4934340","4985674","5028230",
"Iceland","ISL","Population, total","SP.POP.TOTL","175574","179029","182378","185653","188983","192286","195570","198751","201488","203369","204438","206098","209137","212317","215209","217979","220154","221799","223537","225735","228138","230755","233860","236977","239511","241405","243180","245859","249740","252852","254826","257797","261057","263725","266021","267468","268916","271128","274047","277381","281205","284968","287523","289521","292074","296734","303782","311566","317414","318499","318041","319014","320716","323764","327386","330815","335439","343400","352721","360563","366463","372295",
"Israel","ISR","Population, total","SP.POP.TOTL","2114020","2185000","2293000","2379000","2475000","2563000","2629000","2745000","2803000","2877000","2974000","3069000","3148000","3278000","3377000","3455000","3533000","3613000","3690000","3786000","3878000","3956000","4031000","4105000","4159000","4233000","4299000","4369000","4442000","4518000","4660000","4949000","5123000","5261000","5399000","5545000","5692000","5836000","5971000","6125000","6289000","6439000","6570000","6689700","6809000","6930100","7053700","7180100","7308800","7485600","7623600","7765800","7910500","8059500","8215700","8380100","8546000","8713300","8882800","9054000","9215100","9364000",
"Italy","ITA","Population, total","SP.POP.TOTL","50199700","50536350","50879450","51252000","51675350","52112350","52519000","52900500","53235750","53537950","53821850","54073490","54381345","54751406","55110868","55441001","55718260","55955411","56155143","56317749","56433883","56501675","56543548","56564074","56576718","56593071","56596155","56601931","56629288","56671781","56719240","56758521","56797087","56831821","56843400","56844303","56860281","56890372","56906744","56916317","56942108","56974100","57059007","57313203","57685327","57969484","58143979","58438310","58826731","59095365","59277417","59379449","59539717","60233948","60789140","60730582","60627498","60536709","60421760","59729081","59449527","59066225",
"Japan","JPN","Population, total","SP.POP.TOTL","93216000","94055000","94933000","95900000","96903000","97952000","98851000","99879000","101011000","102219000","103403000","105697000","107188000","108707000","110162000","111573000","112775000","113872000","114913000","115890000","116807000","117661000","118480000","119307000","120083000","120837000","121482000","122069000","122578000","123069000","123478000","123964000","124425000","124829000","125178000","125472000","125757000","126057000","126400000","126631000","126843000","127149000","127445000","127718000","127761000","127773000","127854000","128001000","128063000","128047000","128070000","127833000","127629000","127445000","127276000","127141000","127076000","126972000","126811000","126633000","126261000","125681593",
"Mexico","MEX","Population, total","SP.POP.TOTL","37771861","38966049","40195318","41462373","42771077","44123863","45519746","46956208","48431971","49945278","51493565","53076366","54689944","56324310","57966812","59607947","61242189","62869908","64494872","66123908","67761367","69407623","71058650","72709306","74352631","75983486","77599105","79200081","80788725","82368930","83943135","85512621","87075136","88625440","90156396","91663290","93147045","94611008","96056313","97484823","98899845","100298152","101684764","103081020","104514934","106005199","107560155","109170503","110815272","112463886","114092961","115695468","117274156","118827158","120355137","121858251","123333379","124777326","126190782","127575529","128932753","130262220",
"Netherlands","NLD","Population, total","SP.POP.TOTL","11486631","11638712","11805689","11965966","12127120","12294732","12456251","12598201","12729721","12877984","13038526","13194497","13328593","13439322","13545056","13666335","13774037","13856185","13941700","14038270","14149800","14247208","14312690","14367070","14424211","14491632","14572278","14665037","14760094","14848907","14951510","15069798","15184166","15290368","15382838","15459006","15530498","15610650","15707209","15812088","15925513","16046180","16148929","16225302","16281779","16319868","16346101","16381696","16445593","16530388","16615394","16693074","16754962","16804432","16865008","16939923","17030314","17131296","17231624","17344874","17441500","17533405",
"New Zealand","NZL","Population, total","SP.POP.TOTL","2371800","2419700","2482000","2531800","2585400","2628400","2675900","2724100","2748100","2772800","2810700","2853000","2903900","2961300","3023700","3083100","3110500","3120200","3121200","3109000","3112900","3124900","3156100","3199300","3227100","3247100","3246300","3274400","3283400","3299200","3329800","3495100","3531700","3572200","3620000","3673400","3732000","3781300","3815000","3835100","3857700","3880500","3948500","4027200","4087500","4133900","4184600","4223800","4259800","4302600","4350700","4384000","4408100","4442100","4516500","4609400","4714100","4813600","4900600","4979200","5090200","5122600",
"Sweden","SWE","Population, total","SP.POP.TOTL","7484656","7519998","7561588","7604328","7661354","7733853","7807797","7867931","7912273","7968072","8042801","8098334","8122300","8136312","8159955","8192437","8222286","8251540","8275599","8293678","8310531","8320503","8325263","8329033","8336605","8350386","8369829","8397804","8436489","8492964","8558835","8617375","8668067","8718561","8780745","8826939","8840998","8846062","8850974","8857874","8872109","8895960","8924958","8958229","8993531","9029572","9080505","9148092","9219637","9298515","9378126","9449213","9519374","9600379","9696110","9799186","9923085","10057698","10175214","10278887","10353442","10415811",
"United States","USA","Population, total","SP.POP.TOTL","180671000","183691000","186538000","189242000","191889000","194303000","196560000","198712000","200706000","202677000","205052000","207661000","209896000","211909000","213854000","215973000","218035000","220239000","222585000","225055000","227225000","229466000","231664000","233792000","235825000","237924000","240133000","242289000","244499000","246819000","249623000","252981000","256514000","259919000","263126000","266278000","269394000","272657000","275854000","279040000","282162411","284968955","287625193","290107933","292805298","295516599","298379912","301231207","304093966","306771529","309327143","311583481","313877662","316059947","318386329","320738994","323071755","325122128","326838199","328329953","331501080","331893745",
